Date,Open,High,Low,Close
05/22/2024,"0.6093","0.6153","0.6083","0.6098"
05/21/2024,"0.6105","0.6113","0.6087","0.6090"
05/20/2024,"0.6136","0.6139","0.6096","0.6106"
05/17/2024,"0.6124","0.6140","0.6100","0.6131"
05/16/2024,"0.6121","0.6141","0.6095","0.6121"
05/15/2024,"0.6040","0.6126","0.6026","0.6122"
05/14/2024,"0.6014","0.6044","0.5995","0.6041"
05/13/2024,"0.6020","0.6032","0.6000","0.6017"
05/10/2024,"0.6033","0.6041","0.6008","0.6022"
05/09/2024,"0.6003","0.6037","0.5992","0.6035"
05/08/2024,"0.6005","0.6015","0.5980","0.6004"
05/07/2024,"0.6011","0.6026","0.5995","0.6003"
05/06/2024,"0.6013","0.6033","0.5995","0.6010"
05/03/2024,"0.5962","0.6046","0.5954","0.6011"
05/02/2024,"0.5930","0.5969","0.5914","0.5961"
05/01/2024,"0.5893","0.5941","0.5875","0.5931"
04/30/2024,"0.5975","0.5982","0.5885","0.5887"
04/29/2024,"0.5939","0.5986","0.5939","0.5976"
04/26/2024,"0.5949","0.5970","0.5929","0.5941"
04/25/2024,"0.5936","0.5968","0.5919","0.5948"
04/24/2024,"0.5932","0.5952","0.5920","0.5935"
04/23/2024,"0.5919","0.5949","0.5902","0.5933"
04/22/2024,"0.5888","0.5930","0.5885","0.5918"
04/19/2024,"0.5903","0.5907","0.5852","0.5888"
04/18/2024,"0.5917","0.5943","0.5898","0.5901"
04/17/2024,"0.5883","0.5926","0.5865","0.5916"
04/16/2024,"0.5905","0.5908","0.5869","0.5881"
04/15/2024,"0.5943","0.5954","0.5898","0.5904"
04/12/2024,"0.5998","0.6011","0.5933","0.5952"
04/11/2024,"0.5979","0.6015","0.5969","0.5997"
04/10/2024,"0.6061","0.6084","0.5966","0.5975"
04/09/2024,"0.6033","0.6077","0.6030","0.6060"
04/08/2024,"0.6014","0.6040","0.6000","0.6032"
04/05/2024,"0.6026","0.6032","0.5985","0.6014"
04/04/2024,"0.6010","0.6047","0.6003","0.6025"
04/03/2024,"0.5971","0.6012","0.5952","0.6008"
